# Día        Órbita        SZA        altitud       Z_MSO
        46          4          0          1          1
        46          5          0          1          1
        47          1          0          1          1
        47          2          0          1          1
        47          3          0          1          1
        47          4          0          1          1
        47          5          0          1          1
        48          1          0          1          1
        48          2          0          1          1
        48          3          0          1          1
        48          4          0          1          1
        48          5          0          1          1
        49          1          0          1          1
        49          2          0          1          1
        49          3          0          1          1
        49          4          0          1          1
        49          5          0          1          1
        50          1          0          1          1
        50          2          0          1          1
        50          3          0          1          1
        50          4          0          1          1
        50          5          0          1          1
        51          1          0          1          1
        51          2          0          1          1
        51          3          0          1          1
        51          4          0          1          1
        51          5          0          1          1
        52          1          0          1          1
        52          2          0          1          1
        52          3          0          1          1
        52          4          0          1          1
        52          5          0          1          1
        53          1          0          1          1
        53          2          0          1          1
        53          3          0          1          1
        53          4          0          1          1
        53          5          0          1          1
        54          1          0          1          1
        54          2          0          1          1
        54          3          0          1          1
        54          4          0          1          1
        54          5          0          1          1
        55          1          0          1          1
        55          2          0          1          1
        55          3          0          1          1
        55          4          0          1          1
        55          5          0          1          1
        56          1          0          1          1
        56          2          0          1          1
        56          3          0          1          1
        56          4          0          1          1
        56          5          0          1          1
        57          1          0          1          1
        57          2          0          1          1
        57          3          0          1          1
        57          4          0          1          1
        57          5          0          1          1
        58          1          0          1          1
        58          2          0          1          1
        58          3          0          1          1
        58          4          0          1          1
        58          5          0          1          1
        59          1          0          1          1
        59          2          0          1          1
        59          3          0          1          1
        59          4          0          1          1
        59          5          0          1          1
        60          1          0          1          1
        60          2          0          0          1
        60          3          0          1          1
        60          4          0          1          1
        60          5          0          1          1
        61          1          0          1          1
        61          2          0          1          1
        61          3          0          1          1
        61          4          0          1          1
        61          5          0          1          1
        62          1          0          1          1
        62          2          0          1          1
        62          3          0          0          0
        62          4          0          1          1
        62          5          0          1          1
        63          1          0          1          1
        63          2          0          1          1
        63          3          0          0          1
        63          4          0          1          1
        63          5          0          1          1
        64          1          0          0          1
        64          2          0          0          1
        64          3          0          1          1
        64          4          0          1          1
        64          5          0          1          1
        65          1          0          1          1
        65          2          0          0          1
        65          3          0          0          1
        65          4          0          1          1
        65          5          0          0          1
        66          1          0          0          1
        66          2          0          0          1
        66          3          0          0          1
        66          4          0          1          1
        66          5          0          0          1
        67          1          0          0          1
        67          2          0          0          1
        67          3          0          0          1
        67          4          0          0          1
        67          5          0          0          1
        68          1          0          0          1
        68          2          0          0          1
        68          3          0          0          1
        68          4          0          0          1
        68          5          0          0          1
        69          1          0          0          1
        69          2          0          0          1
        69          3          0          0          1
        69          4          0          0          1
        69          5          0          0          1
        70          1          0          0          1
        70          2          0          0          1
        70          3          0          0          1
        70          4          0          0          1
        70          5          0          0          1
        71          1          0          0          1
        71          2          0          0          1
        71          3          0          0          1
        71          4          0          0          1
        71          5          0          0          1
        72          1          0          0          1
        72          2          0          0          1
        72          3          0          0          1
        72          4          0          0          1
        72          5          0          0          1
        73          1          0          0          1
        73          2          0          0          1
        73          3          0          0          1
        73          4          0          0          1
        73          5          0          0          1
        74          1          0          0          1
        74          2          0          0          1
        74          3          0          0          1
        74          4          0          0          1
        74          5          0          0          1
        75          1          0          0          1
        75          2          0          0          1
        75          3          0          0          1
        75          4          0          0          1
        75          5          0          0          1
        76          1          0          0          1
        76          2          0          0          1
        76          3          0          0          1
        76          4          0          0          1
        76          5          0          0          1
        77          1          0          0          1
        77          2          0          0          1
        77          3          0          0          1
        77          4          0          0          1
        77          5          0          0          1
        78          1          0          0          1
        78          2          0          0          1
        78          3          0          0          1
        78          4          0          0          1
        78          5          0          0          1
        79          1          0          0          1
        79          2          0          0          1
        79          3          0          0          1
        79          4          0          0          1
        79          5          0          0          1
        80          1          0          0          1
        80          2          0          0          1
        80          3          0          0          1
        80          4          0          0          1
        80          5          0          0          1
        81          1          0          0          1
        81          2          0          0          1
        81          3          0          0          1
        81          4          0          0          1
        81          5          0          0          1
        82          1          0          0          1
        82          2          0          0          1
        82          3          0          0          1
        82          4          0          0          1
        82          5          0          0          1
        83          1          0          0          1
        83          2          0          0          1
        83          3          0          0          1
        83          4          0          0          1
        83          5          0          0          1
        84          1          0          0          1
        84          2          0          0          1
        84          3          0          0          1
        84          4          0          0          1
        84          5          0          0          1
        85          1          0          0          1
        85          2          0          0          1
        85          3          1          0          1
        85          4          0          0          1
        85          5          1          0          1
        86          1          1          0          1
        86          2          1          0          1
        86          3          1          0          1
        86          4          1          0          1
        86          5          1          0          1
        87          1          1          0          1
        87          2          0          0          1
        87          3          1          0          1
        87          4          0          0          1
        87          5          0          0          1
        88          1          0          0          1
        88          2          0          0          1
        88          3          0          0          1
        88          4          0          0          1
        88          5          0          0          1
        89          1          0          0          1
        89          2          0          0          1
        89          3          0          0          1
        89          4          0          0          1
        89          5          0          0          1
        90          1          0          0          1
        90          2          0          0          1
        90          3          0          0          1
        90          4          0          0          1
        90          5          0          1          1
        91          1          0          0          1
        91          2          0          1          1
        91          3          0          1          1
        91          4          0          1          1
        91          5          0          1          1
        92          1          0          1          1
        92          2          0          1          1
        92          3          0          1          1
        92          4          0          1          1
        92          5          0          1          1
        93          1          0          0          0
        93          2          0          1          1
        93          3          0          1          1
        93          4          0          0          0
        93          5          0          1          1
       104          1          0          0          0
       104          2          0          1          1
       104          3          0          0          0
       104          4          0          0          0
       104          5          0          1          1
       105          1          0          1          1
       105          2          0          1          1
       105          3          0          1          1
       105          4          0          1          1
       105          5          0          1          1
       106          1          0          1          1
       106          2          0          1          1
       106          3          0          1          1
       106          4          0          1          1
       106          5          0          1          1
       107          1          0          1          1
       107          2          0          1          1
       107          3          0          1          1
       107          4          0          1          1
       107          5          0          1          1
       108          1          0          1          1
       108          2          0          1          1
       108          3          0          1          1
       108          4          0          1          1
       108          5          0          1          1
       109          1          0          1          1
       109          2          0          0          1
       109          3          0          0          1
       109          4          0          1          1
       109          5          0          1          1
       110          1          0          1          1
       110          2          0          0          1
       110          3          0          1          1
       110          4          0          1          1
       110          5          0          0          1
       111          1          0          0          1
       111          2          0          0          1
       111          3          0          0          1
       111          4          0          0          1
       111          5          0          0          1
       112          1          0          1          1
       112          2          0          1          1
       112          3          0          1          1
       112          4          0          1          1
       112          5          0          1          1
       113          1          0          1          1
       113          2          0          1          1
       113          3          0          1          1
       113          4          0          1          1
       113          5          0          1          1
       114          1          0          1          1
       114          2          0          1          1
       114          3          0          1          1
       114          4          0          1          1
       114          5          0          1          1
       115          1          0          1          1
       115          2          0          1          1
       115          3          0          1          1
       115          4          0          1          1
       115          5          0          1          1
       116          1          0          1          1
       116          2          0          1          1
       116          3          0          1          1
       116          4          0          1          1
       116          5          0          1          1
       117          1          0          1          1
       117          2          0          1          1
       117          3          0          1          1
       117          4          0          1          1
       117          5          0          1          1
       118          1          0          1          1
       118          2          0          1          1
       118          3          0          1          1
       118          4          0          1          1
       118          5          0          1          1
       119          1          0          1          1
       119          2          0          1          1
       119          3          0          1          1
       119          4          0          1          1
       119          5          0          1          1
       120          1          0          1          1
       120          2          0          1          1
       120          3          0          1          1
       120          4          0          1          1
       120          5          0          1          1
       121          1          0          1          1
       121          2          0          1          1
       121          3          0          1          1
       121          4          0          1          1
       121          5          0          1          1
       122          1          0          1          1
       122          2          0          1          1
       122          3          0          1          1
       122          4          0          1          1
       122          5          0          1          1
       123          1          0          1          1
       123          2          0          1          1
       123          3          0          1          1
       123          4          0          1          1
       123          5          0          1          1
       124          1          0          1          1
       124          2          0          1          1
       124          3          0          1          1
       124          4          0          1          1
       124          5          0          1          1
       125          1          0          1          1
       125          2          0          1          1
       125          3          0          1          1
       125          4          0          1          1
       125          5          0          1          1
       126          1          0          1          1
       126          2          0          1          1
       126          3          0          1          1
       126          4          0          1          1
       126          5          0          1          1
       127          1          0          1          1
       127          2          0          1          1
       127          3          0          1          1
       127          4          0          1          1
       127          5          0          1          1
       128          1          0          1          1
       128          2          0          1          1
       128          3          0          1          1
       128          4          0          1          1
       128          5          0          1          1
       129          1          0          1          1
       129          2          0          1          1
       129          3          0          1          1
       129          4          0          1          1
       129          5          0          1          1
       130          1          0          1          1
       130          2          0          1          1
       130          3          0          1          1
       130          4          0          1          1
       130          5          0          1          1
       131          1          0          1          1
       131          2          0          1          1
       131          3          0          1          1
       131          4          0          1          1
       131          5          0          1          1
       132          1          0          1          1
       132          2          0          1          1
       132          3          0          1          1
       132          4          0          1          1
       132          5          0          1          1
       133          1          0          1          1
       133          2          0          1          1
       133          3          0          1          1
       133          4          0          1          1
       133          5          0          1          1
       134          1          0          1          1
       134          2          0          1          1
       134          3          0          1          1
       134          4          0          1          1
       134          5          0          1          1
       135          1          0          1          1
       135          2          0          1          1
       135          3          0          1          1
       135          4          0          1          1
       135          5          0          1          1
       136          1          0          1          1
       136          2          0          1          1
       136          3          0          1          1
       136          4          0          1          1
       136          5          0          1          1
       137          1          0          1          1
       137          2          0          1          1
       137          3          0          1          1
       137          4          0          1          1
       137          5          0          1          1
       138          1          0          1          1
       138          2          0          1          1
       138          3          0          1          1
       138          4          0          1          1
       138          5          0          1          1
       139          1          0          1          1
       139          2          0          1          1
       139          3          0          1          1
       139          4          0          1          1
       139          5          0          1          1
       140          1          0          1          1
       140          2          0          1          1
       140          3          0          1          1
       140          4          0          1          1
       140          5          0          1          1
       141          1          0          1          1
       141          2          0          1          1
       141          3          0          1          1
       141          4          0          1          1
       141          5          0          1          1
       142          1          0          1          1
       142          2          0          1          1
       142          3          0          1          1
       142          4          0          1          1
       142          5          0          1          1
       143          1          0          1          1
       143          2          0          1          1
       143          3          0          1          1
       143          4          0          1          1
       143          5          0          1          1
       144          1          0          1          1
       144          2          0          1          1
       144          3          0          1          1
       144          4          0          1          1
       144          5          0          1          1
       145          1          0          1          1
       145          2          0          1          1
       145          3          0          1          1
       145          4          0          1          1
       145          5          0          1          1
       146          1          0          1          1
       146          2          0          1          1
       146          3          0          1          1
       146          4          0          1          1
       146          5          0          1          1
       147          1          0          1          1
       147          2          0          1          1
       147          3          0          1          1
       147          4          0          1          1
       147          5          0          1          1
       148          1          0          1          1
       148          2          0          1          1
       148          3          0          1          1
       148          4          0          1          1
       148          5          0          1          1
       149          1          0          1          1
       149          2          0          1          1
       149          3          0          1          1
       149          4          0          1          1
       149          5          0          1          1
       150          1          0          1          1
       150          2          0          1          1
       150          3          0          1          1
       150          4          0          1          1
       150          5          0          1          1
       151          1          0          1          1
       151          2          0          1          1
       151          3          0          1          1
       151          4          0          1          1
       151          5          0          1          1
       152          1          0          1          1
       152          2          0          1          1
       152          3          0          1          1
       152          4          0          1          1
       152          5          0          1          1
       153          1          0          1          1
       153          2          0          1          1
       153          3          0          1          1
       153          4          0          1          1
       153          5          0          1          1
       154          1          0          1          1
       154          2          0          1          1
       154          3          0          1          1
       154          4          0          1          1
       154          5          0          1          1
       155          1          0          1          1
       155          2          0          1          1
       155          3          0          1          1
       155          4          0          1          1
       155          5          0          1          1
       156          1          0          1          1
       156          2          0          1          1
       156          3          0          1          1
       156          4          0          1          1
       156          5          0          1          1
       157          1          0          1          1
       157          2          0          1          1
       157          3          0          1          1
       157          4          0          1          1
       157          5          0          1          1
       158          1          0          1          1
       158          2          0          1          1
       158          3          0          1          1
       158          4          0          1          1
       158          5          0          1          1
       159          1          0          1          1
       159          2          0          1          1
       159          3          0          1          1
       159          4          0          1          1
       159          5          0          1          1
       160          1          0          1          1
       160          2          0          1          1
       160          3          0          1          1
       160          4          0          1          1
       160          5          0          1          1
       161          1          0          1          1
       161          2          0          1          1
       161          3          0          1          1
       161          4          0          1          1
       161          5          0          1          1
       162          1          0          1          1
       162          2          0          1          1
       162          3          0          1          1
       162          4          0          1          1
       162          5          0          1          1
       163          1          0          1          1
       163          2          0          1          1
       163          3          0          1          1
       163          4          0          1          1
       163          5          0          1          1
       164          1          0          1          1
       164          2          0          1          1
       164          3          0          1          1
       164          4          0          1          1
       164          5          0          1          1
       165          1          0          1          1
       165          2          0          1          1
       165          3          0          1          1
       165          4          0          1          1
       165          5          0          1          1
       166          1          0          1          1
       166          2          0          1          1
       166          3          0          1          1
       166          4          0          1          1
       166          5          0          1          1
       167          1          0          1          1
       167          2          0          1          1
       167          3          0          1          1
       167          4          0          1          1
       167          5          0          1          1
       168          1          0          1          1
       168          2          0          1          1
       168          3          0          1          1
       168          4          0          1          1
       168          5          0          1          1
       169          1          0          1          1
       169          2          0          1          1
       169          3          0          1          1
       169          4          0          1          1
       169          5          0          1          1
       170          1          0          1          1
       170          2          0          1          1
       170          3          0          1          1
       170          4          0          1          1
       170          5          0          1          1
       171          1          0          1          1
       171          2          0          1          1
       171          3          0          1          1
       171          4          0          1          1
       171          5          0          1          1
       172          1          0          1          1
       172          2          0          1          1
       172          3          0          1          1
       172          4          0          1          1
       172          5          0          1          1
       173          1          0          1          1
       173          2          0          1          1
       173          3          0          1          1
       173          4          0          1          1
       173          5          0          1          1
       174          1          0          1          1
       174          2          0          1          1
       174          3          0          1          1
       174          4          0          1          1
       174          5          0          1          1
       175          1          0          1          1
       175          2          0          1          1
       175          3          0          1          1
       175          4          0          1          1
       175          5          0          1          1
       176          1          0          1          1
       176          2          0          1          1
       176          3          0          1          1
       176          4          0          1          1
       176          5          0          1          1
       177          1          0          1          1
       177          2          0          1          1
       177          3          0          1          1
       177          4          0          1          1
       177          5          0          1          1
       178          1          0          1          1
       178          2          0          1          1
       178          3          0          1          1
       178          4          0          1          1
       178          5          0          1          1
       179          1          0          1          1
       179          2          0          1          1
       179          3          0          1          1
       179          4          0          1          1
       179          5          0          1          1
       180          1          0          0          1
       180          2          0          1          1
       180          3          0          1          1
       180          4          0          1          1
       180          5          0          0          1
       182          1          0          0          0
       182          2          0          0          0
       182          3          0          1          1
       182          4          0          0          1
       182          5          0          0          1
       183          1          0          1          1
       183          2          0          1          1
       183          3          0          1          1
       183          4          0          1          1
       183          5          0          1          1
       184          1          0          1          1
       184          2          0          1          1
       184          3          0          1          1
       184          4          0          1          1
       184          5          0          1          1
       185          1          0          1          1
       185          2          0          1          1
       185          3          0          1          1
       185          4          0          1          1
       185          5          0          1          1
       186          1          0          1          1
       186          2          0          1          1
       186          3          0          1          1
       186          4          0          0          1
       186          5          0          0          1
       187          1          0          0          1
       187          2          0          0          1
       187          3          0          0          1
       187          4          0          0          1
       187          5          0          0          1
       188          1          0          0          1
       188          2          0          0          1
       188          3          0          0          1
       188          4          0          0          1
       188          5          0          0          1
       189          1          0          0          1
       189          2          0          0          1
       189          3          0          0          1
       189          4          0          0          1
       189          5          0          0          1
       190          1          0          0          1
       190          2          0          0          1
       190          3          0          0          1
       190          4          0          0          1
       190          5          0          0          1
       191          1          0          0          1
       191          2          0          0          1
       191          3          0          0          1
       191          4          0          0          1
       191          5          0          0          1
       192          1          0          0          1
       192          2          0          0          1
       192          3          0          0          1
       192          4          0          0          1
       192          5          0          0          1
       193          1          0          0          1
       193          2          0          0          1
       193          3          0          0          1
       193          4          0          0          1
       193          5          0          0          1
       194          1          0          0          1
       194          2          0          0          1
       194          3          0          0          1
       194          4          0          0          1
       194          5          0          0          1
       195          1          0          0          1
       195          2          0          0          1
       195          3          0          0          1
       195          4          0          0          1
       195          5          0          0          1
       196          1          0          0          1
       196          2          0          0          1
       196          3          0          0          1
       196          4          0          0          1
       196          5          0          0          1
       197          1          0          0          1
       197          2          0          0          1
       197          3          0          0          1
       197          4          0          0          1
       197          5          0          0          1
       198          1          0          0          1
       198          2          0          0          1
       198          3          0          0          1
       198          4          0          0          1
       198          5          0          0          1
       199          1          0          0          1
       199          2          0          0          1
       199          3          0          0          1
       199          4          0          0          1
       199          5          0          0          1
       200          1          0          0          1
       200          2          0          0          1
       200          3          0          0          1
       200          4          0          0          1
       200          5          0          0          1
       201          1          0          0          1
       201          2          0          0          1
       201          3          0          0          1
       201          4          0          0          1
       201          5          0          0          1
       202          1          0          0          1
       202          2          0          0          1
       202          3          0          0          1
       202          4          0          0          1
       202          5          0          0          1
       203          1          0          0          1
       203          2          0          0          1
       203          3          0          0          1
       203          4          0          0          1
       203          5          0          0          1
       204          1          0          0          1
       204          2          0          0          1
       204          3          0          0          1
       204          4          0          0          1
       204          5          0          0          1
       205          1          0          0          1
       205          2          0          0          1
       205          3          0          0          1
       205          4          0          0          1
       205          5          0          0          1
       206          1          0          0          1
       206          2          0          0          1
       206          3          0          0          1
       206          4          0          0          1
       206          5          0          0          1
       207          1          0          0          1
       207          2          0          0          1
       207          3          0          0          1
       207          4          0          0          1
       207          5          0          0          1
       208          1          0          0          1
       208          2          0          0          1
       208          3          0          0          1
       208          4          0          0          1
       208          5          0          0          1
       209          1          0          0          1
       209          2          0          0          1
       209          3          0          0          1
       209          4          0          0          1
       209          5          0          0          1
       210          1          0          0          1
       210          2          0          0          1
       210          3          0          0          1
       210          4          0          0          1
       210          5          0          0          1
       211          1          0          0          1
       211          2          0          0          1
       211          3          0          0          1
       211          4          0          0          1
       211          5          0          0          1
       212          1          0          0          1
       212          2          0          0          1
       212          3          0          0          1
       212          4          0          0          1
       212          5          0          0          1
       213          1          0          0          1
       213          2          0          0          1
       213          3          0          0          1
       213          4          0          0          1
       213          5          0          0          1
       214          1          0          0          1
       214          2          0          0          1
       214          3          0          0          1
       214          4          0          0          1
       214          5          0          0          1
       215          1          0          0          1
       215          2          0          0          1
       215          3          0          0          1
       215          4          0          0          1
       215          5          0          0          1
       216          1          0          0          1
       216          2          0          0          1
       216          3          0          0          1
       216          4          0          0          1
       216          5          0          0          1
       217          1          0          0          1
       217          2          0          0          1
       217          3          0          0          1
       217          4          0          0          1
       217          5          0          0          1
       218          1          0          0          1
       218          2          0          0          1
       218          3          0          0          1
       218          4          0          0          1
       218          5          0          0          1
       219          1          0          0          1
       219          2          0          0          1
       219          3          0          0          1
       219          4          0          0          1
       219          5          0          0          1
       220          1          0          0          1
       220          2          0          0          1
       220          3          0          0          1
       220          4          0          0          1
       220          5          0          0          1
       221          1          0          0          1
       221          2          0          0          1
       221          3          0          0          1
       221          4          0          0          1
       221          5          0          0          1
       222          1          0          0          1
       222          2          0          0          1
       222          3          0          0          1
       222          4          0          0          1
       222          5          0          0          1
       223          1          0          0          1
       223          2          0          0          1
       223          3          0          0          1
       223          4          0          0          1
       223          5          0          0          1
       224          1          0          0          1
       224          2          0          0          1
       224          3          0          0          1
       224          4          0          0          1
       224          5          0          0          1
       225          1          0          0          1
       225          2          0          0          1
       225          3          0          0          1
       225          4          0          0          1
       225          5          0          0          1
       226          1          0          0          1
       226          2          0          0          1
       226          3          0          0          1
       226          4          0          0          1
       226          5          0          0          1
       227          1          0          0          1
       227          2          0          0          1
       227          3          0          0          1
       227          4          0          0          1
       227          5          0          0          1
       228          1          0          0          1
       228          2          0          0          1
       228          3          0          0          1
       228          4          0          0          1
       228          5          0          0          1
       229          1          0          0          1
       229          2          0          0          1
       229          3          0          0          1
       229          4          0          0          1
       229          5          0          0          1
       230          1          0          0          1
       230          2          0          0          1
       230          3          0          0          1
       230          4          0          0          1
       230          5          0          0          1
       231          1          0          0          1
       231          2          0          0          1
       231          3          0          0          1
       231          4          0          0          1
       231          5          0          0          1
       232          1          0          0          1
       232          2          0          0          1
       232          3          0          0          1
       232          4          0          0          1
       232          5          0          0          1
       233          1          0          0          1
       233          2          0          0          1
       233          3          0          0          1
       233          4          0          0          1
       233          5          0          0          1
       234          1          0          0          1
       234          2          0          0          1
       234          3          0          0          1
       234          4          0          0          1
       234          5          0          0          1
       235          1          0          0          1
       235          2          0          0          1
       235          3          0          0          1
       235          4          0          0          1
       235          5          0          0          1
       236          1          0          0          1
       236          2          0          0          1
       236          3          0          0          1
       236          4          0          0          1
       236          5          0          0          1
       237          1          0          0          1
       237          2          0          0          1
       237          3          0          0          1
       237          4          1          0          1
       237          5          1          0          1
       238          1          1          0          1
       238          2          1          0          1
       238          3          1          0          1
       238          4          1          0          1
       238          5          1          0          1
       239          1          1          0          1
       239          2          1          0          1
       239          3          1          0          1
       239          4          1          0          1
       239          5          1          0          1
       240          1          1          0          1
       240          2          1          0          1
       240          3          1          0          1
       240          4          1          0          1
       240          5          1          0          1
       241          1          1          0          1
       241          2          1          0          1
       241          3          1          0          1
       241          4          1          0          1
       241          5          1          0          1
       242          1          1          0          1
       242          2          1          0          1
       242          3          1          0          1
       242          4          1          0          1
       242          5          1          0          1
       243          1          1          0          1
       243          2          1          0          1
       243          3          1          0          1
       243          4          1          0          1
       243          5          1          0          1
       244          1          1          0          1
       244          2          1          0          1
       244          3          1          0          1
       244          4          1          0          1
       244          5          1          0          1
       245          1          1          0          1
       245          2          1          0          1
       245          3          1          0          1
       245          4          1          0          1
       245          5          1          0          1
       246          1          1          0          1
       246          2          1          0          1
       246          3          1          0          1
       246          4          1          0          1
       246          5          1          0          1
       247          1          1          0          1
       247          2          1          0          1
       247          3          1          0          1
       247          4          1          0          1
       247          5          1          0          1
       248          1          1          0          1
       248          2          1          0          1
       248          3          1          0          1
       248          4          1          0          1
       248          5          1          0          1
       249          1          1          0          1
       249          2          1          0          1
       249          3          1          0          1
       249          4          1          0          1
       249          5          1          0          1
       250          1          1          0          1
       250          2          1          0          1
       250          3          1          0          1
       250          4          1          0          1
       250          5          1          0          1
       251          1          1          0          1
       251          2          1          0          1
       251          3          1          0          1
       251          4          1          0          1
       251          5          1          0          1
       252          1          1          0          1
       252          2          1          0          1
       252          3          1          0          1
       252          4          1          0          1
       252          5          1          0          1
       253          1          1          0          1
       253          2          1          0          1
       253          3          1          0          1
       253          4          1          0          1
       253          5          1          0          1
       254          1          1          0          1
       254          2          1          0          1
       254          3          1          0          1
       254          4          1          0          1
       254          5          1          0          1
       255          1          1          0          1
       255          2          1          0          1
       255          3          1          0          1
       255          4          1          0          1
       255          5          1          0          1
       256          1          1          0          1
       256          2          1          0          1
       256          3          1          0          1
       256          4          1          0          1
       256          5          1          0          1
       257          1          1          0          1
       257          2          1          0          1
       257          3          1          0          1
       257          4          1          0          1
       257          5          1          0          1
       258          1          1          0          1
       258          2          1          0          1
       258          3          1          0          1
       258          4          1          0          1
       258          5          1          0          1
       259          1          1          0          1
       259          2          1          0          1
       259          3          1          0          1
       259          4          1          0          1
       259          5          1          0          1
       260          1          1          0          1
       260          2          1          0          1
       260          3          1          0          1
       260          4          1          0          1
       260          5          1          0          1
       261          1          1          0          1
       261          2          1          0          1
       261          3          1          0          1
       261          4          1          0          1
       261          5          1          0          1
       262          1          1          0          1
       262          2          1          0          1
       262          3          1          0          1
       262          4          1          0          1
       262          5          1          0          1
       263          1          1          0          1
       263          2          1          0          1
       263          3          1          0          1
       263          4          1          0          1
       263          5          1          0          1
       264          1          1          0          1
       264          2          1          0          1
       264          3          1          0          1
       264          4          1          1          1
       264          5          1          0          1
       265          1          1          0          1
       265          2          1          1          1
       265          3          1          0          1
