2014-11-12	12:40:07	13:46:33	13.2	0.331
2014-11-13	21:16:34	22:8:6	26.2	0.644
2014-11-30	22:48:37	23:29:15	23.8	1.259
2014-12-05	1:35:54	1:4:31	28.2	0.859
2014-12-07	15:11:45	15:59:19	28.7	0.335
2014-12-12	17:03:05	16:29:50	20.5	0.396
2014-12-19	18:22:58	18:13:29	28.4	0.67
2014-12-24	17:25:58	17:7:0	23.6	0.967
2014-12-28	8:26:59	8:8:50	21.4	0.982
2014-12-29	12:23:31	11:36:4	15.8	0.503
2015-01-01	13:27:06	12:54:19	28.9	1.05
2015-01-01	22:41:32	22:5:18	28.1	0.83
2015-01-02	12:29:20	11:50:2	26.3	0.534
2015-01-07	20:26:27	20:3:27	29.8	0.313
2015-01-09	18:18:36	17:50:57	24.8	0.307
2015-01-19	9:57:11	10:20:18	18.9	0.668
2015-01-21	9:42:54	9:2:9	24.5	1.539
2015-01-23	7:44:02	6:47:16	25.1	0.595
2015-01-31	21:45:40	20:55:39	18.8	0.566
2015-02-02	10:40:09	9:38:15	25.1	0.288
2015-02-02	19:44:39	18:48:35	21.1	0.214
2015-02-06	10:32:53	9:45:26	23.4	0.302
2015-02-08	13:01:53	12:11:10	18.3	0.42
2015-02-09	7:30:15	6:25:49	7.9	0.595
2015-02-10	1:54:54	1:5:35	27.0	0.511
2015-02-10	15:22:35	14:19:17	24.6	0.798
2015-02-11	5:10:04	4:8:45	21.3	0.437
2015-02-12	19:47:50	20:31:46	20.1	0.312
2015-02-16	8:29:16	7:12:42	19.3	0.391
2015-02-18	14:15:34	13:8:5	25.4	1.061
2015-02-20	6:53:14	5:50:52	24.7	0.531
2015-02-20	16:01:25	14:36:28	24.6	0.311
2015-02-21	10:02:25	8:40:57	22.7	0.454
2015-02-23	11:32:42	10:43:23	25.1	0.563
2015-02-23	16:12:52	14:47:55	24.0	0.607
2015-02-26	9:10:20	9:43:28	20.9	2.052
2015-02-28	9:01:36	7:58:18	27.0	0.451
2015-03-05	21:25:33	21:55:53	9.2	0.604
